hour,day,month,temp,humidity,wind,pressure,precip
11,19,1,12,92,5,29.56,0.0
12,19,1,18,73,3,29.54,0.0
13,19,1,18,79,5,29.51,0.0
14,19,1,18,79,8,29.5,0.0
15,19,1,18,86,8,29.5,0.0
16,19,1,18,86,3,29.52,0.0
17,19,1,18,86,5,29.52,0.0
18,19,1,16,93,7,29.52,0.0
19,19,1,16,93,6,29.52,0.0
20,19,1,16,93,7,29.51,0.0
21,19,1,12,92,6,29.51,0.0
22,19,1,14,86,5,29.5,0.0
23,19,1,12,92,5,29.49,0.0
1,20,1,12,92,2,29.47,0.0
2,20,1,12,92,5,29.46,0.0
3,20,1,12,92,3,29.46,0.0
4,20,1,14,93,3,29.46,0.0
5,20,1,14,86,2,29.46,0.0
6,20,1,16,93,9,29.47,0.0
7,20,1,16,93,10,29.49,0.0
8,20,1,16,86,13,29.51,0.0
9,20,1,14,86,15,29.54,0.0
10,20,1,12,79,17,29.56,0.0
11,20,1,12,73,16,29.56,0.0
12,20,1,12,73,18,29.57,0.0
13,20,1,12,67,18,29.59,0.0
14,20,1,14,62,14,29.61,0.0
15,20,1,12,67,10,29.63,0.0
16,20,1,10,67,12,29.64,0.0
17,20,1,9,67,9,29.65,0.0
18,20,1,9,67,10,29.65,0.0
19,20,1,5,72,5,29.62,0.0
20,20,1,3,78,5,29.6,0.0
21,20,1,1,78,2,29.59,0.0
22,20,1,1,78,5,29.56,0.0
23,20,1,3,78,7,29.55,0.0
0,6,1,27,86,3,29.67,0.0
0,3,1,23,93,5,29.73,0.0
0,4,1,27,86,9,29.58,0.0
1,6,1,27,93,5,29.67,0.0
2,6,1,27,93,2,29.68,0.0
3,6,1,27,93,2,29.69,0.0
4,6,1,27,93,0,29.68,0.0
5,6,1,28,86,6,29.69,0.0
6,6,1,27,86,12,29.69,0.0
7,6,1,27,86,13,29.71,0.0
8,6,1,27,86,10,29.71,0.0
9,6,1,25,86,13,29.73,0.0
10,6,1,25,86,12,29.74,0.0
11,6,1,25,86,13,29.73,0.0
12,6,1,27,80,13,29.72,0.0
13,6,1,27,74,16,29.72,0.0
14,6,1,27,74,13,29.71,0.0
15,6,1,27,74,17,29.73,0.0
16,6,1,27,74,18,29.75,0.0
17,6,1,25,80,14,29.77,0.0
18,6,1,25,80,13,29.78,0.0
19,6,1,25,74,13,29.78,0.0
20,6,1,23,80,10,29.79,0.0
21,6,1,25,80,14,29.79,0.0
22,6,1,25,80,12,29.79,0.0
23,6,1,25,80,16,29.79,0.0
1,3,1,21,93,5,29.71,0.0
2,3,1,23,86,6,29.73,0.0
3,3,1,25,80,2,29.73,0.0
4,3,1,25,86,5,29.72,0.0
5,3,1,23,86,5,29.71,0.0
6,3,1,23,86,2,29.71,0.0
7,3,1,23,86,3,29.69,0.0
8,3,1,23,86,6,29.69,0.0
9,3,1,23,86,9,29.68,0.0
10,3,1,25,80,6,29.69,0.0
11,3,1,25,86,3,29.66,0.0
12,3,1,27,80,9,29.6,0.0
13,3,1,27,80,9,29.57,0.0
14,3,1,28,74,7,29.58,0.0
15,3,1,28,74,6,29.58,0.0
16,3,1,27,86,6,29.58,0.0
17,3,1,27,86,5,29.58,0.0
18,3,1,27,86,7,29.58,0.0
19,3,1,27,93,7,29.59,0.0
20,3,1,27,86,8,29.59,0.0
21,3,1,27,86,6,29.58,0.0
22,3,1,27,86,7,29.59,0.0
23,3,1,27,86,8,29.58,0.0
1,4,1,27,86,7,29.58,0.0
2,4,1,27,86,7,29.59,0.0
3,4,1,27,86,8,29.6,0.0
4,4,1,27,86,6,29.59,0.0
5,4,1,27,86,6,29.61,0.0
6,4,1,27,86,5,29.61,0.0
7,4,1,27,86,7,29.62,0.0
8,4,1,27,86,6,29.64,0.0
9,4,1,27,86,7,29.66,0.0
10,4,1,27,86,6,29.66,0.0
11,4,1,28,86,2,29.65,0.0
12,4,1,28,86,3,29.62,0.0
13,4,1,30,80,0,29.61,0.0
14,4,1,30,86,0,29.6,0.0
15,4,1,30,86,3,29.6,0.0
16,4,1,30,86,2,29.61,0.0
17,4,1,30,86,5,29.61,0.0
18,4,1,30,86,3,29.61,0.0
19,4,1,30,86,2,29.62,0.0
20,4,1,30,86,5,29.61,0.0
21,4,1,28,93,6,29.6,0.0
22,4,1,28,93,6,29.59,0.0
23,4,1,28,93,7,29.58,0.0
0,22,1,23,93,3,29.01,0.0
0,23,1,10,79,10,29.53,0.0
1,22,1,25,93,3,29.02,0.0
2,22,1,27,93,6,29.04,0.0
3,22,1,27,93,7,29.05,0.0
4,22,1,28,86,9,29.06,0.0
5,22,1,27,80,12,29.09,0.0
6,22,1,23,80,8,29.12,0.0
7,22,1,23,80,9,29.15,0.0
8,22,1,21,74,12,29.17,0.0
9,22,1,21,80,14,29.21,0.0
10,22,1,19,80,15,29.25,0.0
11,22,1,19,80,14,29.27,0.0
12,22,1,19,74,13,29.27,0.0
13,22,1,19,68,10,29.28,0.0
14,22,1,19,74,14,29.3,0.0
15,22,1,19,68,13,29.32,0.0
16,22,1,19,68,12,29.35,0.0
17,22,1,18,73,17,29.39,0.0
18,22,1,18,73,14,29.43,0.0
19,22,1,18,73,13,29.44,0.0
20,22,1,16,79,14,29.46,0.0
21,22,1,16,79,13,29.47,0.0
22,22,1,14,79,12,29.48,0.0
23,22,1,12,85,9,29.51,0.0
1,23,1,9,79,13,29.54,0.0
2,23,1,7,79,9,29.56,0.0
3,23,1,7,79,10,29.58,0.0
4,23,1,7,79,14,29.59,0.0
5,23,1,5,78,13,29.61,0.0
6,23,1,3,78,10,29.64,0.0
7,23,1,1,78,15,29.66,0.0
8,23,1,0,72,13,29.7,0.0
9,23,1,1,66,16,29.71,0.0
10,23,1,3,66,18,29.73,0.0
11,23,1,3,72,16,29.74,0.0
12,23,1,5,66,20,29.73,0.0
13,23,1,7,61,17,29.73,0.0
14,23,1,7,61,17,29.73,0.0
15,23,1,9,62,16,29.75,0.0
16,23,1,7,67,16,29.76,0.0
17,23,1,7,61,10,29.78,0.0
18,23,1,7,61,12,29.8,0.0
19,23,1,7,67,14,29.8,0.0
20,23,1,5,72,15,29.81,0.0
21,23,1,5,72,14,29.81,0.0
22,23,1,3,78,16,29.83,0.0
23,23,1,3,72,15,29.82,0.0
0,24,1,1,78,13,29.82,0.0
