minute,hour,day,month,temp,humidity,wind,pressure,precip,pm2.5,co,no2,o3,so2
24,6,1,1,28.1,74,0.3,30.5,0.0,-999,-999,-999,-999,-999
0,6,5,1,-999,-999,-999,-999,-999,20,.27,9.6,19,.5
24,7,1,1,26.6,84,0.2,30.49,0.0,-999,-999,-999,-999,-999
0,7,5,1,-999,-999,-999,-999,-999,21,.3,10.4,18,.6
24,8,1,1,27.1,83,0.0,30.5,0.0,-999,-999,-999,-999,-999
0,8,5,1,-999,-999,-999,-999,-999,20,.32,9.6,19,.4
24,9,1,1,26.7,85,0.7,30.51,0.0,-999,-999,-999,-999,-999
0,9,5,1,-999,-999,-999,-999,-999,14,.24,7.9,21,.2
24,10,1,1,28.2,84,1.7,30.5,0.0,-999,-999,-999,-999,-999
0,10,5,1,-999,-999,-999,-999,-999,13,.23,6,23,.2
24,11,1,1,28.9,82,1.3,30.46,0.0,-999,-999,-999,-999,-999
0,11,5,1,-999,-999,-999,-999,-999,10,.22,5.4,25,.4
24,12,1,1,29.3,81,1.9,30.44,0.0,-999,-999,-999,-999,-999
0,12,5,1,-999,-999,-999,-999,-999,9,.22,5.3,25,.4
24,13,1,1,29.5,81,1.9,30.41,0.0,-999,-999,-999,-999,-999
0,13,5,1,-999,-999,-999,-999,-999,9,.21,6.3,24,.4
24,14,1,1,29.8,80,2.8,30.39,0.0,-999,-999,-999,-999,-999
0,14,5,1,-999,-999,-999,-999,-999,8,.21,6.2,23,.3
24,15,1,1,30.1,80,2.5,30.34,0.0,-999,-999,-999,-999,-999
0,15,5,1,-999,-999,-999,-999,-999,9,.22,5.8,23,.6
24,16,1,1,30.8,79,2.1,30.31,0.0,-999,-999,-999,-999,-999
0,16,5,1,-999,-999,-999,-999,-999,10,.24,10.3,18,.6
24,17,1,1,30.2,79,3.4,30.3,0.0,-999,-999,-999,-999,-999
0,17,5,1,-999,-999,-999,-999,-999,9,.29,13.9,15,.3
24,18,1,1,29.6,80,2.6,30.28,0.0,-999,-999,-999,-999,-999
0,18,5,1,-999,-999,-999,-999,-999,10,.27,12.1,16,.2
24,19,1,1,28.9,79,5.1,30.22,0.0,-999,-999,-999,-999,-999
0,19,5,1,-999,-999,-999,-999,-999,11,.27,13.5,15,.2
24,20,1,1,28.6,79,5.1,30.18,0.0,-999,-999,-999,-999,-999
0,20,5,1,-999,-999,-999,-999,-999,12,.3,14.6,12,.3
