date,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
2021-03-05,1.8,2.4,2.2,2.2,2.6,4.3,4.9,5.4,4.1,3,2.5,2.3,2,2,2.7,2.1,1.8,2.5,2.8,3.6,2.1,2,2.2,2.9
2021-03-06,2.2,2.8,3.2,3.4,3.9,3.6,3.4,2.5,2.1,1.4,1.6,1.5,1.7,1.7,2,2.4,2.8,3,5.3,5.7,6.7,5.4,6.2,7.2
2021-03-07,7.5,5.5,5.3,3.5,3.4,3.9,3.6,3.8,2.3,1.5,1.3,1.4,1.5,1.7,1.7,2.4,2.9,4.2,6.7,9.7,16.9,15.3,15.2,27.5
2021-03-08,28.2,26.2,20.9,19.7,26,27.3,28,28.5,20.4,21.8,25.8,8.7,6.7,5.9,6.8,11.4,11.7,12.6,10.4,10.8,14.1,15.1,14.3,16.3
2021-03-09,18.8,21.7,14.7,15.8,15.9,22.2,20.8,19.4,14.1,7.7,5.6,2.7,2.8,3.4,4,3.6,4.5,7.8,12.8,14.5,32.3,46.5,47.6,40.3
2021-03-10,36.4,26,34.9,31.1,28.9,22.3,14.3,16.7,14.9,9.6,7.5,6.1,6.3,6.8,7.7,9.8,15,16.8,19.5,16.8,22.3,27.4,23.7,9.3
2021-03-11,6.8,8.2,10.3,10,10.3,10.9,11.4,13.6,13.5,16,13.3,7.5,6.1,6.4,6,4.9,5.9,6.2,6.2,6,5.1,3.4,2.7,2.5
2021-03-12,2.8,1.7,1.7,1.9,2.1,2.5,4.8,5.6,4.3,3.2,3.2,2.7,2.7,2.6,2.3,2.6,3.3,2.9,1.9,1.6,1.7,1.3,1.5,1.2
2021-03-13,1.6,1.2,1.6,1.6,1.9,2.3,3.1,2.3,2,1.6,1.7,2.2,2,1.4,1.6,1.8,2.4,4.7,4.2,6.1,6.2,5.3,6.1,5.7
2021-03-14,5.2,4.6,-999,-999,2.4,2.3,2.3,2,1.9,1.3,1.2,1.3,1.3,1.3,1.2,1.6,1.7,1.9,2.6,2.3,1.8,1.8,1.5,1.4
2021-03-15,1.5,1.6,1.6,2,2.2,2.5,3.3,4.3,3.2,2.7,2.3,1.6,1.6,1.8,1.8,1.6,2.6,3,4.7,6.2,6.7,8.5,15.8,20.9
2021-03-16,23.5,22.3,19.8,38.1,37.5,31.1,24.4,23.6,21.7,21,15.6,9,7.4,4.5,3.9,4.4,5.6,8.9,13.2,16.4,30,26.1,27.3,34.8
